id,first_name,second_name,team,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,selected_by_percent
328,Mohamed,Salah,12,13.7,306,15.0,2570,27,17,12,69.7
182,Cole,Palmer,6,10.8,181,0.5,2442,14,8,6,49.6
99,Bryan,Mbeumo,4,8.1,179,4.0,2605,15,6,6,41.1
447,Chris,Wood,16,7.3,174,2.0,2343,18,3,14,46.9
351,Erling,Haaland,13,14.8,171,4.5,2480,21,3,7,31.1
401,Alexander,Isak,15,9.3,169,2.0,2053,19,5,8,53.4
366,Bruno,Borges Fernandes,14,8.6,152,13.0,2375,8,11,8,19.8
71,Justin,Kluivert,3,6.3,147,3.5,1934,12,6,10,35.7
58,Ollie,Watkins,2,8.9,147,9.0,2052,13,6,7,17.8
541,Matheus,Santos Carneiro Da Cunha,20,6.9,143,0.0,2143,13,4,5,7.0
327,Luis,Díaz,12,7.5,138,6.0,1845,9,6,13,15.4
311,Trent,Alexander-Arnold,12,7.3,135,2.0,2144,2,6,12,25.1
110,Yoane,Wissa,4,6.6,132,5.0,2111,13,3,6,17.1
443,Matz,Sels,16,5.1,125,4.5,2610,0,1,12,18.8
514,Jarrod,Bowen,19,7.6,125,3.5,2187,7,8,6,10.0
207,Jean-Philippe,Mateta,7,7.5,123,0.0,2129,12,2,7,5.9
503,Son,Heung-min,18,9.7,123,3.5,1855,7,10,4,5.5
422,Ola,Aina,16,5.4,122,3.5,2531,2,1,12,29.4
247,Alex,Iwobi,9,5.6,120,4.0,2360,7,4,6,4.7
573,Nikola,Milenković,16,4.9,120,8.5,2520,4,2,12,10.2
252,Raúl,Jiménez,9,5.5,118,5.0,1830,10,3,7,7.3
433,Morgan,Gibbs-White,16,6.6,118,5.0,2019,5,10,11,8.0
136,Mitoma,Kaoru,5,6.5,118,1.5,2312,7,4,6,9.7
494,James,Maddison,18,7.4,118,0.5,1514,9,6,5,4.7
432,Anthony,Elanga,16,5.3,118,9.5,1841,5,8,11,6.8
15,David,Raya Martin,1,5.5,117,4.5,2610,0,0,11,26.4
235,Jordan,Pickford,8,5.1,116,2.5,2610,0,1,9,18.2
3,Gabriel,dos Santos Magalhães,1,6.4,116,3.5,2348,3,2,10,30.7
18,William,Saliba,1,6.2,114,5.5,2364,2,0,11,23.0
54,Morgan,Rogers,2,5.5,113,3.0,2337,7,5,5,16.2
585,Ismaïla,Sarr,7,5.6,113,11.0,1927,7,4,8,4.9
398,Anthony,Gordon,15,7.4,113,0.0,2107,6,6,9,8.4
211,Daniel,Muñoz,7,5.1,112,6.0,2344,3,5,9,16.2
