name,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,xG,xA,name
Arsenal,54,0,0.0,0,0,0,0,0.00,0.00,Arsenal
Arsenal,65,42,0.0,600,3,2,2,3.05,0.52,Arsenal
Arsenal,64,116,3.5,2348,3,2,10,2.70,1.21,Arsenal
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal
Arsenal,40,0,0.0,0,0,0,0,0.00,0.00,Arsenal
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal
Arsenal,48,13,0.0,323,0,0,1,0.00,0.03,Arsenal
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal
Arsenal,46,46,1.0,595,3,1,2,0.82,1.20,Arsenal
Arsenal,82,76,4.0,1724,2,4,9,3.76,5.19,Arsenal
Arsenal,55,117,4.5,2610,0,0,11,0.00,0.01,Arsenal
Arsenal,62,89,6.5,2154,2,5,9,1.99,5.01,Arsenal
Arsenal,102,107,0.0,1268,5,11,6,4.17,5.60,Arsenal
Arsenal,62,114,5.5,2364,2,0,11,2.07,0.88,Arsenal
Arsenal,49,85,2.0,2185,3,3,7,1.65,2.11,Arsenal
Arsenal,43,6,1.0,77,0,0,0,0.21,0.28,Arsenal
Arsenal,48,1,0.0,6,0,0,0,0.18,0.00,Arsenal
Arsenal,68,100,2.0,1899,4,6,9,4.66,3.10,Arsenal
Arsenal,61,29,0.0,703,0,1,3,0.19,0.33,Arsenal
Arsenal,48,19,0.0,292,0,0,2,0.16,0.12,Arsenal
Arsenal,41,7,0.0,180,0,0,0,0.00,0.00,Arsenal
Arsenal,67,17,0.0,303,0,1,1,1.04,0.37,Arsenal
Arsenal,58,37,0.5,921,2,1,1,0.86,0.68,Arsenal
Arsenal,45,22,2.0,762,1,0,4,0.04,0.29,Arsenal
Arsenal,60,68,5.5,1140,5,1,4,3.76,1.01,Arsenal
Arsenal,45,0,0.0,0,0,0,0,0.00,0.00,Arsenal
Arsenal,45,0,0.0,0,0,0,0,0.00,0.00,Arsenal
Arsenal,40,0,0.0,0,0,0,0,0.00,0.00,Arsenal
Arsenal,45,0,0.0,0,0,0,0,0.00,0.00,Arsenal
Arsenal,40,0,0.0,0,0,0,0,0.00,0.00,Arsenal
Arsenal,45,0,0.0,0,0,0,0,0.00,0.00,Arsenal
Arsenal,15,48,6.5,0,0,0,0,0.00,0.00,Arsenal
Arsenal,40,0,0.0,0,0,0,0,0.00,0.00,Arsenal
Aston Villa,62,46,1.0,1131,1,2,2,1.73,2.92,Aston Villa
Aston Villa,52,40,0.0,544,3,1,1,1.68,0.41,Aston Villa
Aston Villa,49,0,0.0,0,0,0,0,0.00,0.00,Aston Villa
Aston Villa,51,11,0.0,89,0,0,0,0.65,0.03,Aston Villa
Aston Villa,44,41,0.0,1395,1,1,2,0.23,1.00,Aston Villa
Aston Villa,45,0,0.0,0,0,0,0,0.00,0.00,Aston Villa
Aston Villa,65,0,0.0,0,0,0,0,0.00,0.00,Aston Villa
Aston Villa,45,21,0.0,828,0,0,2,0.64,0.08,Aston Villa
Aston Villa,45,75,6.0,2059,0,5,4,0.80,3.56,Aston Villa
Aston Villa,50,0,0.0,0,0,0,0,0.00,0.00,Aston Villa
Aston Villa,57,53,0.0,622,7,0,2,5.11,0.24,Aston Villa
Aston Villa,40,0,0.0,0,0,0,0,0.00,0.00,Aston Villa
Aston Villa,39,0,0.0,0,0,0,0,0.00,0.00,Aston Villa
Aston Villa,54,0,0.0,0,0,0,0,0.00,0.00,Aston Villa
Aston Villa,50,30,1.0,1077,0,0,2,0.27,0.31,Aston Villa
Aston Villa,40,0,0.0,0,0,0,0,0.00,0.00,Aston Villa
Aston Villa,44,59,7.0,2171,1,0,3,0.65,0.42,Aston Villa
Aston Villa,45,24,0.0,604,0,1,0,0.24,1.70,Aston Villa
Aston Villa,40,0,0.0,0,0,0,0,0.00,0.00,Aston Villa
Aston Villa,50,73,0.0,2430,0,0,3,0.00,0.01,Aston Villa
Aston Villa,52,53,2.0,1775,0,3,4,2.03,2.17,Aston Villa
Aston Villa,44,31,8.0,780,0,1,2,0.70,0.18,Aston Villa
Aston Villa,39,5,0.0,121,0,0,0,0.00,0.02,Aston Villa
Aston Villa,45,8,7.0,180,0,0,1,0.00,0.00,Aston Villa
Aston Villa,42,32,0.0,1549,0,0,2,0.51,0.34,Aston Villa
Aston Villa,54,52,6.0,1245,1,3,2,1.30,1.81,Aston Villa
Aston Villa,55,113,3.0,2337,7,5,5,4.75,3.45,Aston Villa
Aston Villa,40,0,0.0,0,0,0,0,0.00,0.00,Aston Villa
Aston Villa,40,0,0.0,0,0,0,0,0.00,0.00,Aston Villa
Aston Villa,55,85,3.0,2491,2,4,4,2.61,5.10,Aston Villa
Aston Villa,89,147,9.0,2052,13,6,7,13.61,1.56,Aston Villa
Aston Villa,42,30,6.0,723,1,0,3,0.36,0.36,Aston Villa
Aston Villa,48,41,0.0,1078,2,0,2,1.85,0.25,Aston Villa
Aston Villa,66,74,1.0,1175,4,4,5,1.89,3.12,Aston Villa
Aston Villa,40,6,0.0,473,0,0,0,0.04,0.13,Aston Villa
